structure.c,Dates_x
37.98052944,2018/6/22 0:39
37.98796622,2018/6/22 0:56
37.99798576,2018/6/22 1:00
37.99956316,2018/6/22 1:03
38.01500668,2018/6/22 1:06
38.0087702,2018/6/22 1:18
38.00801612,2018/6/22 1:23
38.01631581,2018/6/22 1:25
38.02357977,2018/6/22 1:26
38.01905854,2018/6/22 1:27
38.0266544,2018/6/22 1:29
38.01537049,2018/6/22 1:30
37.98524667,2018/6/22 1:39
37.99525044,2018/6/22 1:41
37.98003566,2018/6/22 1:43
37.98116517,2018/6/22 1:55
37.9999691,2018/6/22 1:58
38.00766986,2018/6/22 2:02
38.00932627,2018/6/22 9:00
37.99294095,2018/6/22 9:03
37.9790034,2018/6/22 9:07
37.98872874,2018/6/22 9:09
37.99296596,2018/6/22 9:13
37.98877247,2018/6/22 9:14
38.01098092,2018/6/22 9:24
38.00621795,2018/6/22 9:25
37.99000037,2018/6/22 9:27
38.0026774,2018/6/22 9:28
38.00423804,2018/6/22 9:32
38.00463709,2018/6/22 9:36
37.97792362,2018/6/22 9:59
37.9627515,2018/6/22 10:18
37.95584314,2018/6/22 10:21
37.95070346,2018/6/22 10:23
37.93912966,2018/6/22 11:22
37.93829999,2018/6/22 11:25
37.93031881,2018/6/22 13:30
37.88370688,2018/6/22 13:32
37.88286748,2018/6/22 13:34
37.88408847,2018/6/22 13:58
37.9044434,2018/6/22 14:06
37.89938773,2018/6/22 14:13
37.8944633,2018/6/22 14:22
37.88733627,2018/6/22 14:26
37.8722715,2018/6/22 14:27
37.87221115,2018/6/22 14:28
37.9004599,2018/6/22 14:29
37.89552467,2018/6/22 14:30
37.92250204,2018/6/22 14:33
37.90609931,2018/6/22 14:34
37.89682574,2018/6/22 14:36
37.87102277,2018/6/22 14:52
37.79864644,2018/6/22 14:55
37.72667477,2018/6/22 15:00
37.71545637,2018/6/22 15:01
37.72996942,2018/6/22 15:03
37.72984407,2018/6/22 15:04
37.76790809,2018/6/22 15:06
37.80875866,2018/6/22 15:22
37.79191837,2018/6/22 15:24
37.77018248,2018/6/22 15:25
37.78515792,2018/6/22 15:42
37.70927314,2018/6/22 20:05
37.71013092,2018/6/22 20:09
37.72035004,2018/6/22 20:14
37.70521933,2018/6/22 20:16
37.76014031,2018/6/22 20:19
37.78861158,2018/6/22 20:20
37.80224454,2018/6/22 20:22
37.79614159,2018/6/22 20:29
37.83639924,2018/6/22 20:51
37.81705931,2018/6/22 21:00
37.83403318,2018/6/22 21:02
37.84954091,2018/6/22 21:08
37.87944839,2018/6/22 21:09
37.87222483,2018/6/22 21:10
37.81355046,2018/6/22 21:12
37.86402824,2018/6/22 21:15
37.8678336,2018/6/22 21:16
37.82715662,2018/6/22 21:20
37.80849731,2018/6/22 21:23
37.81939569,2018/6/22 21:24
37.78352638,2018/6/22 21:25
37.80962122,2018/6/22 21:29
37.83176538,2018/6/22 21:35
37.82160496,2018/6/22 21:36
37.83202895,2018/6/22 21:37
37.82788587,2018/6/22 21:41
37.82449571,2018/6/22 21:42
37.81995443,2018/6/22 21:43
37.80922384,2018/6/22 21:44
37.78591395,2018/6/22 21:46
37.76344668,2018/6/22 21:48
37.78018672,2018/6/22 21:51
37.767641,2018/6/22 21:52
37.75968467,2018/6/22 21:53
37.73627429,2018/6/22 21:54
37.74351298,2018/6/22 21:57
37.72090635,2018/6/22 21:58
37.70391911,2018/6/22 21:59
37.71204322,2018/6/22 22:02
37.70060558,2018/6/22 22:03
37.69995105,2018/6/22 22:08
37.69322394,2018/6/22 22:20
37.71945455,2018/6/22 22:23
37.73107494,2018/6/22 22:25
37.7281049,2018/6/22 22:27
37.71258801,2018/6/22 22:28
37.70379657,2018/6/22 22:29
37.7018318,2018/6/22 22:30
37.71596455,2018/6/22 22:31
37.69559039,2018/6/22 22:32
37.6874534,2018/6/22 22:33
37.67697196,2018/6/22 22:34
37.66848115,2018/6/22 22:36
37.66220352,2018/6/22 22:38
37.64063452,2018/6/22 22:39
37.63130509,2018/6/22 22:42
37.63247647,2018/6/22 22:45
37.63400668,2018/6/22 22:49
37.62458448,2018/6/22 22:51
37.60122261,2018/6/22 22:53
37.58995441,2018/6/22 22:54
37.59379924,2018/6/22 22:56
37.57124764,2018/6/22 22:57
37.59839711,2018/6/22 23:00
37.58275297,2018/6/22 23:01
37.58816927,2018/6/22 23:02
37.59407675,2018/6/22 23:03
37.57600774,2018/6/22 23:05
37.58507268,2018/6/22 23:06
37.61790322,2018/6/22 23:08
37.31114621,2018/6/22 23:10
37.3975572,2018/6/22 23:14
37.38978483,2018/6/22 23:15
37.38217229,2018/6/22 23:20
37.35755644,2018/6/22 23:22
37.34765547,2018/6/22 23:24
37.34139326,2018/6/22 23:25
37.35395588,2018/6/22 23:27
37.37326705,2018/6/22 23:29
37.34484087,2018/6/22 23:34
37.34203571,2018/6/22 23:35
37.33771157,2018/6/22 23:42
37.37133219,2018/6/22 23:48
37.37207661,2018/6/22 23:49
37.39801971,2018/6/22 23:52
37.39678537,2018/6/22 23:58
37.39827316,2018/6/23
37.40999715,2018/6/23 0:11
37.43042141,2018/6/23 0:31
37.37881755,2018/6/23 0:34
37.42337686,2018/6/23 0:56
37.45447017,2018/6/23 0:59
37.456397,2018/6/23 1:01
37.45231911,2018/6/23 1:13
37.44229235,2018/6/23 1:21
37.43419959,2018/6/23 1:23
37.42254019,2018/6/23 1:24
37.40472486,2018/6/23 1:27
37.40438364,2018/6/23 1:28
37.45339661,2018/6/23 1:29
37.4391456,2018/6/23 1:51
37.42943878,2018/6/23 1:59
37.42506604,2018/6/23 2:05
37.43831858,2018/6/23 2:24
37.32961542,2018/6/25 9:00
37.21782107,2018/6/25 9:01
37.14304782,2018/6/25 9:23
37.09135631,2018/6/25 9:27
37.12148666,2018/6/25 9:36
37.11718867,2018/6/25 9:37
37.13965211,2018/6/25 9:47
37.16040308,2018/6/25 9:48
37.11466709,2018/6/25 10:39
37.09744069,2018/6/25 10:47
37.07214125,2018/6/25 10:54
37.06325446,2018/6/25 10:59
37.05720913,2018/6/25 11:00
37.03843351,2018/6/25 11:01
37.03885695,2018/6/25 11:02
37.03451887,2018/6/25 11:03
37.19655812,2018/6/25 13:39
37.1686552,2018/6/25 13:40
37.15655438,2018/6/25 13:45
37.16416237,2018/6/25 13:49
37.1363941,2018/6/25 13:54
37.14151176,2018/6/25 13:57
37.14001996,2018/6/25 14:00
37.15885061,2018/6/25 14:01
37.16891216,2018/6/25 14:02
37.18640438,2018/6/25 14:04
37.17231345,2018/6/25 14:21
37.18032632,2018/6/25 14:25
37.21272032,2018/6/25 14:34
37.18640255,2018/6/25 14:47
37.17646152,2018/6/25 14:53
37.17157907,2018/6/25 15:00
37.11405842,2018/6/25 15:03
37.08827651,2018/6/25 15:17
37.09564119,2018/6/25 15:18
37.10380113,2018/6/25 15:19
37.1133432,2018/6/25 15:22
37.11185024,2018/6/25 15:23
36.92527509,2018/6/25 20:01
36.94860646,2018/6/25 20:08
36.94196909,2018/6/25 20:11
36.88340775,2018/6/25 20:13
36.86706693,2018/6/25 20:18
36.86663475,2018/6/25 20:19
36.86212132,2018/6/25 20:20
36.87272434,2018/6/25 20:22
36.88040703,2018/6/25 20:24
36.91166947,2018/6/25 20:31
36.84344419,2018/6/25 20:33
36.83564134,2018/6/25 20:35
36.83664704,2018/6/25 20:41
36.86359917,2018/6/25 20:46
36.89997996,2018/6/25 20:48
36.95654591,2018/6/25 20:51
36.92855146,2018/6/25 20:54
36.92927568,2018/6/25 20:58
36.94854115,2018/6/25 21:01
36.96789017,2018/6/25 21:02
36.97551028,2018/6/25 21:03
36.94961006,2018/6/25 21:04
36.93737527,2018/6/25 21:11
36.93037045,2018/6/25 21:12
36.9243991,2018/6/25 21:15
36.97278909,2018/6/25 21:16
36.95053586,2018/6/25 21:17
36.92098594,2018/6/25 21:22
36.96793534,2018/6/25 21:28
36.91658778,2018/6/25 21:30
36.89959672,2018/6/25 21:34
36.89556555,2018/6/25 21:35
36.8788518,2018/6/25 21:39
36.79596261,2018/6/25 21:49
36.79841247,2018/6/25 21:50
36.78764246,2018/6/25 22:00
36.77971959,2018/6/25 22:01
36.73373023,2018/6/25 22:02
36.77054846,2018/6/25 22:03
36.78405727,2018/6/25 22:09
36.76559288,2018/6/25 22:10
36.78252754,2018/6/25 22:14
36.79964699,2018/6/25 22:19
36.79195067,2018/6/25 22:20
36.78308642,2018/6/25 22:23
36.76820946,2018/6/25 22:24
36.81561495,2018/6/25 22:26
36.83063516,2018/6/25 22:28
36.83085767,2018/6/25 22:30
36.8140853,2018/6/25 22:31
36.82287025,2018/6/25 22:32
36.82398285,2018/6/25 22:33
36.73130147,2018/6/25 22:35
36.79498917,2018/6/25 22:37
36.77801477,2018/6/25 22:39
36.85428142,2018/6/25 22:44
36.8637352,2018/6/25 22:46
36.84799424,2018/6/25 22:47
36.8506595,2018/6/25 22:48
36.83936191,2018/6/25 22:50
36.82346677,2018/6/25 22:52
36.79996493,2018/6/25 22:53
36.79475321,2018/6/25 22:54
36.80287624,2018/6/25 22:55
36.80604604,2018/6/25 22:56
36.7929348,2018/6/25 22:57
36.78595343,2018/6/25 22:58
36.78234624,2018/6/25 23:01
36.77874297,2018/6/25 23:02
36.77402891,2018/6/25 23:03
36.76981825,2018/6/25 23:04
36.76472806,2018/6/25 23:05
36.76427923,2018/6/25 23:06
36.76480465,2018/6/25 23:10
36.76571428,2018/6/25 23:14
36.77124305,2018/6/25 23:16
36.76717758,2018/6/25 23:23
36.7180511,2018/6/25 23:27
36.71478668,2018/6/25 23:28
36.74151434,2018/6/25 23:42
36.73080134,2018/6/25 23:51
36.73784522,2018/6/25 23:56
36.73698214,2018/6/26 0:07
36.76445936,2018/6/26 0:32
36.77006192,2018/6/26 0:58
36.77540321,2018/6/26 1:04
36.76239981,2018/6/26 1:12
36.74532547,2018/6/26 1:13
36.72405187,2018/6/26 1:16
36.72351543,2018/6/26 1:20
36.70093206,2018/6/26 1:21
36.69360076,2018/6/26 1:25
36.70310945,2018/6/26 1:44
36.71172267,2018/6/26 1:45
36.7271153,2018/6/26 1:53
36.75385168,2018/6/26 9:00
36.74197974,2018/6/26 9:01
36.73842315,2018/6/26 9:02
36.73934395,2018/6/26 9:03
36.74174128,2018/6/26 9:05
36.73477946,2018/6/26 9:08
36.73743626,2018/6/26 9:15
36.72530027,2018/6/26 9:16
36.71531153,2018/6/26 9:19
36.71601948,2018/6/26 9:20
36.72911563,2018/6/26 9:31
36.73563693,2018/6/26 10:00
36.71600486,2018/6/26 10:02
36.58889577,2018/6/26 10:49
36.5721522,2018/6/26 10:50
36.56696403,2018/6/26 10:55
36.56095714,2018/6/26 10:57
36.56790497,2018/6/26 10:58
36.55894591,2018/6/26 10:59
36.53946771,2018/6/26 11:01
36.5351009,2018/6/26 11:03
36.53200863,2018/6/26 11:15
36.56145839,2018/6/26 13:30
36.55503367,2018/6/26 13:31
36.53992889,2018/6/26 13:32
36.54500078,2018/6/26 13:40
36.55919022,2018/6/26 13:41
36.55704769,2018/6/26 13:48
36.57668083,2018/6/26 14:00
36.55375298,2018/6/26 14:14
36.55666985,2018/6/26 14:17
36.52125492,2018/6/26 14:25
36.51699414,2018/6/26 14:34
36.53721351,2018/6/26 14:45
36.54606941,2018/6/26 14:46
36.5620082,2018/6/26 14:56
36.56955197,2018/6/26 15:18
36.93159462,2018/6/26 20:00
36.76062731,2018/6/26 20:02
36.76920216,2018/6/26 20:04
36.75040478,2018/6/26 20:07
36.74369865,2018/6/26 20:08
36.74721169,2018/6/26 20:10
36.75771926,2018/6/26 20:13
36.78189503,2018/6/26 20:15
36.78678566,2018/6/26 20:16
36.80140794,2018/6/26 20:18
36.79297545,2018/6/26 20:19
36.79889788,2018/6/26 20:20
36.73262244,2018/6/26 20:21
36.70920081,2018/6/26 20:23
36.71670303,2018/6/26 20:24
36.6983304,2018/6/26 20:26
36.71658477,2018/6/26 20:27
36.7092442,2018/6/26 20:28
36.69387521,2018/6/26 20:29
36.69369101,2018/6/26 20:30
36.68216749,2018/6/26 20:31
36.70112806,2018/6/26 20:32
36.69458932,2018/6/26 20:33
