1059,1059,1353.3,1353.5,1353.3,1353.5,13,1059,1059,271.9,271.95,271.76,271.87,176000,26
1069,1069,1354.8,1354.8,1354.8,1354.8,1,1069,1069,272,272.02,271.98,271.98,236000,26
1072,1072,1355,1355,1355,1355,1,1072,1072,272,272,272,272,134000,26
1087,1087,1354.6,1354.6,1354.6,1354.6,1,1087,1087,272.06,272.06,272.06,272.06,2000,26
1089,1089,1355,1355,1355,1355,4,1089,1089,272.1,272.1,272.1,272.1,40000,26
1091,1091,1356,1357,1356,1357,2,1091,1091,272.15,272.3,272.15,272.3,150000,26
1092,1092,1358,1358,1358,1358,1,1092,1092,272.3,272.37,272.28,272.32,180000,26
1103,1103,1359,1359,1359,1359,1,1103,1103,272.44,272.55,272.43,272.5,526000,26
1108,1108,1358.8,1358.8,1358.8,1358.8,10,1108,1108,272.53,272.53,272.5,272.5,140000,26
1123,1123,1360,1360,1360,1360,1,1123,1123,272.52,272.58,272.52,272.58,114000,26
1150,1150,1361,1361,1361,1361,1,1150,1150,272.62,272.64,272.62,272.64,96000,26
1151,1151,1362,1362,1362,1362,2,1151,1151,272.62,272.76,272.62,272.76,248000,26
1166,1166,1361.5,1361.5,1361.5,1361.5,1,1166,1166,272.8,272.85,272.8,272.85,82000,26
1209,1209,1362.8,1363,1362.8,1363,4,1209,1209,273.08,273.18,273.07,273.18,228000,26
1220,1220,1364,1364,1364,1364,1,1220,1220,273.26,273.27,273.25,273.26,242000,26
1225,1225,1364.2,1364.2,1364.2,1364.2,1,1225,1225,273.25,273.27,273.25,273.27,258000,26
1227,1227,1364.1,1364.1,1364.1,1364.1,2,1227,1227,273.29,273.29,273.21,273.29,210000,26
1234,1234,1364.3,1364.3,1364.3,1364.3,3,1234,1234,273.29,273.29,273.29,273.29,12000,26
1245,1245,1363.9,1363.9,1363.9,1363.9,1,1245,1245,273.25,273.26,273.25,273.25,56000,26
1250,1250,1363.9,1363.9,1363.9,1363.9,1,1250,1250,273.26,273.26,273.22,273.26,108000,26
1266,1266,1363.7,1363.7,1363.7,1363.7,5,1266,1266,273.28,273.29,273.28,273.29,50000,26
1273,1273,1363.7,1363.7,1363.7,1363.7,5,1273,1273,273.26,273.28,273.26,273.26,38000,26
1291,1291,1364.3,1364.3,1364.3,1364.3,1,1291,1291,273.33,273.34,273.32,273.33,110000,26
1292,1292,1364.2,1364.2,1364.2,1364.2,1,1292,1292,273.32,273.33,273.32,273.33,10000,26
1296,1296,1364.4,1364.4,1364.4,1364.4,20,1296,1296,273.35,273.35,273.33,273.34,36000,26
1297,1297,1364.6,1364.6,1364.6,1364.6,10,1297,1297,273.34,273.36,273.34,273.36,138000,26
1298,1298,1364.6,1364.6,1364.5,1364.5,40,1298,1298,273.36,273.38,273.36,273.38,38000,26
1299,1299,1364.6,1364.6,1364.5,1364.5,30,1299,1299,273.38,273.38,273.37,273.37,160000,26
1300,1300,1363.9,1363.9,1363.9,1363.9,1,1300,1300,273.37,273.37,273.33,273.35,88000,26
1320,1320,1364.8,1364.8,1364.8,1364.8,10,1320,1320,273.39,273.39,273.38,273.39,58000,26
