1,22,271.5,271.5,270.85,270.76,2.49e+06,9,0,0.99785,1,-0.74
9,22,270.85,271.01,270.88,270.98,2.776e+06,12,0,0.68509,0.99958,0.13
9,22,271.03,271.33,271.03,271.25,2.49e+06,17,0,0.66974,0.99915,0.22
9,22,271.35,271.45,271.2,271.2,2.466e+06,18,0,0.61903,0.99873,-0.15
10,22,271.21,271.3,271.24,271.29,2.554e+06,22,0,0.54417,0.9776,0.08
10,22,271.28,271.3,271.2,271.28,2.594e+06,16,0,0.44738,0.79163,0
10,22,271.32,271.35,271.25,271.21,2.484e+06,47,0,0.43304,0.70752,-0.11
13,22,271.25,271.5,271.23,271.5,2.472e+06,38,0,0.46781,0.88377,0.25
14,22,271.5,271.59,271.25,271.21,2.612e+06,38,0,0.50521,0.94886,-0.29
14,22,271.22,271.4,271.1,271.31,2.464e+06,38,0,0.48232,0.91462,0.09
20,22,271.31,271.67,271.25,271.59,2.646e+06,79,0,0.51075,0.95435,0.28
21,22,271.61,271.88,271.43,271.76,2.496e+06,81,0,0.50662,0.95182,0.15
22,22,271.85,272.24,271.81,272.07,2.696e+06,126,0,0.51873,0.96027,0.22
9,23,272.2,272.29,271.93,272.15,3.018e+06,35,0,0.48489,0.91927,-0.05
9,23,272.2,272.23,272.1,272.15,2.484e+06,33,0,0.46093,0.85968,-0.05
10,23,272.15,272.19,272.12,272.14,2.51e+06,42,0,0.43018,0.69315,-0.01
10,23,272.14,272.17,272.09,272.01,2.524e+06,20,0,0.42854,0.68005,-0.13
11,23,272.05,272.06,271.91,271.98,2.666e+06,31,0,0.41446,0.57819,-0.07
13,23,271.98,272.07,271.96,272,2.524e+06,24,0,0.39227,0.4273,0.02
14,23,272.02,272.03,271.8,271.79,2.526e+06,41,0,0.40806,0.53931,-0.23
15,23,271.88,272.45,271.8,272.3,2.592e+06,59,0,0.43829,0.73964,0.42
20,23,272.28,272.4,272.03,272.1,2.458e+06,85,0,0.44397,0.77515,-0.18
22,23,272.13,272.2,271.7,271.87,2.584e+06,126,0,0.45924,0.8508,-0.26
9,26,271.85,272.14,271.9,272.1,2.458e+06,29,0,0.47167,0.89265,0.25
9,26,272.15,272.55,272.3,272.4,2.56e+06,20,0,0.48369,0.91801,0.25
9,26,272.41,272.61,272.39,272.58,2.69e+06,15,0,0.48568,0.92096,0.17
10,26,272.58,272.85,272.5,272.75,2.646e+06,24,0,0.48751,0.92434,0.17
10,26,272.85,272.93,272.75,272.77,2.472e+06,34,0,0.47692,0.90617,-0.08
11,26,272.82,273.24,272.85,273.13,2.516e+06,22,0,0.49218,0.92984,0.31
13,26,273.25,273.28,273.22,273.25,2.654e+06,14,0,0.46849,0.88631,0
13,26,273.27,273.31,273.21,273.25,2.46e+06,22,0,0.45068,0.81107,-0.02
14,26,273.28,273.3,273.24,273.25,2.508e+06,26,0,0.43492,0.71682,-0.03
14,26,273.25,273.38,273.24,273.31,2.486e+06,25,0,0.42428,0.65131,0.06
15,26,273.3,273.42,273.28,273.01,2.466e+06,26,0,0.43853,0.74176,-0.29
20,26,273.03,273.1,272.84,272.82,2.498e+06,45,0,0.44576,0.78614,-0.21
20,26,272.82,273.02,272.75,273,2.474e+06,37,0,0.44964,0.80516,0.18
21,26,273.02,273.02,272.5,272.4,2.59e+06,59,0,0.47262,0.89476,-0.62
22,26,272.4,272.47,272.32,272.4,2.478e+06,14,0,0.4535,0.82333,0
22,26,272.4,272.69,272.33,272.27,2.47e+06,93,0,0.45161,0.81403,-0.13
0,27,272.27,272.4,271.82,271.8,2.768e+06,55,0,0.47353,0.89814,-0.47
1,27,271.81,272.49,271.8,272.33,2.462e+06,49,0,0.49308,0.93153,0.52
9,27,272.39,272.49,272.15,272.19,2.46e+06,23,0,0.49735,0.93914,-0.2
9,27,272.21,272.23,272.05,272,2.586e+06,29,0,0.50262,0.94632,-0.21
10,27,272,272.1,271.98,271.95,2.626e+06,53,0,0.48924,0.92604,-0.05
10,27,271.95,272,271.9,271.93,2.462e+06,46,0,0.47333,0.8973,-0.02
13,27,271.94,272.03,271.94,271.92,2.488e+06,41,0,0.45766,0.847,-0.02
14,27,272,272.15,271.98,272.13,2.476e+06,38,0,0.45566,0.83728,0.13
15,27,272.15,272.2,271.52,271.43,2.568e+06,69,0,0.47695,0.90659,-0.72
21,27,271.48,271.5,271.25,271.2,2.672e+06,19,0,0.48853,0.92519,-0.28
21,27,271.3,271.57,270.86,271.47,2.772e+06,9,0,0.49021,0.92815,0.17
21,27,271.64,271.55,271.3,271.3,2.458e+06,19,0,0.5039,0.94759,-0.34
21,27,271.4,271.51,271,270.97,2.576e+06,69,0,0.52166,0.96281,-0.43
23,27,271.07,271.1,270.5,270.41,2.61e+06,33,0,0.54194,0.97675,-0.66
23,27,270.41,270.32,270.1,270.2,2.462e+06,13,0,0.54662,0.97929,-0.21
0,28,270.21,270.31,269.83,269.8,2.462e+06,46,0,0.56237,0.98605,-0.41
0,28,269.83,270.11,269.68,269.66,2.466e+06,79,0,0.56279,0.9869,-0.17
2,28,269.69,269.98,269.73,269.74,2.56e+06,23,0,0.54872,0.98098,0.05
9,28,269.73,270.09,269.79,270.08,2.49e+06,12,0,0.56168,0.98521,0.35
9,28,270.08,270.25,269.9,269.91,2.52e+06,23,0,0.56168,0.98478,-0.17
9,28,269.92,269.98,269.91,269.95,2.458e+06,17,0,0.54596,0.97844,0.03
10,28,269.95,270.06,269.95,269.95,2.546e+06,28,0,0.52585,0.96746,0
10,28,269.95,269.96,269.77,269.75,2.59e+06,23,0,0.52973,0.96872,-0.2
10,28,269.8,269.83,269.78,269.74,2.468e+06,32,0,0.51825,0.95985,-0.06
13,28,269.78,269.98,269.89,269.9,2.73e+06,42,0,0.51361,0.95604,0.12
14,28,269.92,270,269.85,269.95,2.556e+06,39,0,0.498,0.94041,0.03
14,28,269.96,270.24,269.95,270.21,2.482e+06,45,0,0.50593,0.95055,0.25
20,28,270.23,270.3,269.85,269.72,2.538e+06,82,0,0.52393,0.96534,-0.51
21,28,269.75,270.49,269.6,270.29,2.47e+06,52,0,0.5414,0.97633,0.54
22,28,270.37,270.3,269.95,270.3,2.466e+06,105,0,0.52981,0.96915,-0.07
1,1,270.3,270.3,269.74,269.72,2.552e+06,55,0,0.5475,0.98056,-0.58
9,1,269.76,269.84,269.7,269.75,2.526e+06,39,0,0.52759,0.9683,-0.01
10,1,269.75,269.84,269.71,269.8,2.488e+06,28,0,0.51371,0.95647,0.05
10,1,269.8,269.85,269.75,269.75,2.464e+06,44,0,0.50023,0.94505,-0.05
13,1,269.76,269.75,269.5,269.43,2.54e+06,29,0,0.51294,0.95562,-0.33
14,1,269.5,269.6,269.47,269.45,2.552e+06,34,0,0.49931,0.94336,-0.05
14,1,269.45,269.6,269.35,269.6,2.476e+06,20,0,0.49809,0.94125,0.15
15,1,269.6,269.66,269.08,269.06,2.586e+06,36,0,0.51724,0.95943,-0.54
20,1,269.1,269.15,268.7,268.6,2.65e+06,27,0,0.5359,0.97253,-0.5
20,1,268.65,268.98,268.67,268.72,2.48e+06,42,0,0.52469,0.96703,0.07
21,1,268.79,269.23,268.68,269.2,2.47e+06,40,0,0.54008,0.97506,0.41
21,1,269.2,269.6,269.05,269.06,2.494e+06,47,0,0.53663,0.9738,-0.14
22,1,269.14,269.44,268.7,269.01,2.514e+06,58,0,0.53177,0.96999,-0.13
23,1,269.05,269.7,268.91,269.51,2.47e+06,91,0,0.54719,0.98014,0.46
1,2,269.62,270.13,268.93,270.01,2.902e+06,29,0,0.56239,0.98648,0.39
9,2,270.13,270.08,269.95,269.95,2.508e+06,14,0,0.56182,0.98563,-0.18
9,2,269.98,270.26,269.99,270.21,2.554e+06,26,0,0.56584,0.98901,0.23
9,2,270.26,270.58,270.28,270.5,2.5e+06,11,0,0.57048,0.9907,0.24
9,2,270.58,270.65,270.43,270.57,2.628e+06,22,0,0.54934,0.98183,-0.01
10,2,270.61,270.78,270.6,270.7,2.482e+06,21,0,0.53926,0.97464,0.09
10,2,270.71,270.76,270.6,270.75,2.646e+06,26,0,0.52216,0.96365,0.04
11,2,270.76,270.81,270.68,270.78,2.51e+06,39,0,0.50403,0.94801,0.02
13,2,270.81,270.9,270.77,270.73,2.482e+06,23,0,0.49419,0.93491,-0.08
14,2,270.76,270.83,270.78,270.8,2.614e+06,20,0,0.47896,0.90997,0.04
14,2,270.8,270.83,270.59,270.54,2.478e+06,30,0,0.48732,0.92392,-0.26
15,2,270.55,271.34,270.46,271.3,2.552e+06,33,0,0.5065,0.95097,0.75
20,2,271.32,271.4,271.24,271.38,2.526e+06,44,0,0.4935,0.93364,0.06
20,2,271.38,271.48,271.3,271.27,2.808e+06,31,0,0.48587,0.92139,-0.11
21,2,271.3,271.87,271.33,271.8,2.57e+06,39,0,0.50292,0.94675,0.5
22,2,271.86,271.81,271.5,271.51,2.47e+06,67,0,0.51518,0.95773,-0.35
23,2,271.5,271.63,270.55,270.65,2.464e+06,113,0,0.53293,0.97084,-0.85
1,3,270.65,271.34,270.45,271.3,2.58e+06,56,0,0.5509,0.98267,0.65
9,5,271.3,271.65,271.47,271.65,2.632e+06,14,0,0.5634,0.98732,0.35
9,5,271.65,271.65,271.54,271.45,2.694e+06,26,0,0.56543,0.98859,-0.2
9,5,271.45,271.53,271.45,271.45,2.484e+06,14,0,0.54508,0.97802,0
10,5,271.45,271.54,271.44,271.45,2.662e+06,30,0,0.52372,0.96492,0
10,5,271.45,271.5,271.38,271.5,2.524e+06,26,0,0.51058,0.95393,0.05
11,5,271.5,271.65,271.46,271.55,2.496e+06,41,0,0.49785,0.93998,0.05
13,5,271.56,271.7,271.6,271.65,2.542e+06,29,0,0.4898,0.92688,0.09
14,5,271.66,271.75,271.65,271.6,2.558e+06,15,0,0.47844,0.90871,-0.06
14,5,271.64,271.8,271.64,271.75,2.664e+06,33,0,0.47322,0.89645,0.11
15,5,271.77,271.8,271.29,271.35,2.46e+06,49,0,0.48957,0.92646,-0.42
20,5,271.32,271.4,271.1,271.11,2.462e+06,72,0,0.49385,0.93407,-0.21
21,5,271.12,271.35,270.93,270.99,2.46e+06,122,0,0.49034,0.92857,-0.13
0,6,271.02,271.2,270.55,270.62,2.46e+06,92,0,0.50531,0.94928,-0.4
2,6,270.62,271.04,270.62,270.93,2.486e+06,34,0,0.51618,0.95816,0.31
9,6,270.98,271.08,271,270.98,2.464e+06,27,0,0.49597,0.93745,0
10,6,270.99,271.05,270.94,271,2.478e+06,37,0,0.4774,0.90744,0.01
10,6,271,271.25,271,271.24,2.464e+06,51,0,0.48428,0.91843,0.24
13,6,271.25,271.37,271.25,271.32,2.606e+06,19,0,0.47362,0.89856,0.07
13,6,271.33,271.4,271.3,271.36,2.578e+06,30,0,0.45794,0.84827,0.03
14,6,271.35,271.4,271.33,271.36,2.5e+06,33,0,0.44085,0.75655,0.01
15,6,271.37,271.37,271,271,2.512e+06,23,0,0.45634,0.84235,-0.37
15,6,271,271.9,271,271.52,2.46e+06,30,0,0.47455,0.9011,0.52
20,6,271.57,271.88,271.53,271.68,2.524e+06,33,0,0.46855,0.88715,0.11
21,6,271.88,271.87,271.66,271.65,2.692e+06,23,0,0.47544,0.90321,-0.23
21,6,271.73,272,271.73,271.95,2.542e+06,9,0,0.48065,0.91167,0.22
21,6,272,272.06,271.97,271.99,2.532e+06,12,0,0.46203,0.86348,-0.01
21,6,272.06,272.28,272.09,272.2,2.554e+06,11,0,0.46,0.85418,0.14
