"","x"
"1",0.811175479908489
"2",0.815288005914309
"3",0.820000685191138
"4",0.815240565131777
"5",0.811950860724183
"6",0.813560299282905
"7",0.80777213329744
"8",0.793632651926145
"9",0.794990813552908
"10",0.794631724429585
"11",0.794316325411478
"12",0.795041553141637
"13",0.795710515016955
"14",0.795242221718111
"15",0.795864894420415
"16",0.787283018943823
"17",0.773230658732149
"18",0.778951060766967
"19",0.793522547541137
"20",0.795319319686858
"21",0.797076761608674
"22",0.796144058959923
"23",0.856553402853012
"24",0.856827806454415
"25",0.854535747445726
"26",0.849871757669804
"27",0.848184270279609
"28",0.845873512425299
"29",0.841190123712862
"30",0.839405585251689
"31",0.843624706249818
"32",0.848185503094624
"33",0.843472022479911
"34",0.841860172454983
"35",0.841279149822793
"36",0.840737282867956
"37",0.816571326576343
"38",0.816067979110824
"39",0.793225776552541
"40",0.79631314630138
"41",0.767223429908446
"42",0.773549853111969
"43",0.777219238854729
"44",0.782965505487538
"45",0.790000365791275
"46",0.80300740786046
"47",0.804159020883722
"48",0.802692969861787
"49",0.811011819836011
"50",0.812826888001784
"51",0.815416204159246
"52",0.815095227702934
"53",0.817762719305938
"54",0.804088114576526
"55",0.805678456040494
"56",0.818375509972261
"57",0.839353383944043
"58",0.809342841733354
"59",0.790323556326025
"60",0.781451467950223
"61",0.759514842065757
"62",0.754005410397272
"63",0.760081052962578
"64",0.750469993000042
"65",0.745966235239786
"66",0.749990316085351
"67",0.750234700835548
"68",0.744366614048605
"69",0.747690759841723
"70",0.7545703932197
"71",0.756663064283218
"72",0.755694524105602
"73",0.722297231723492
"74",0.741047417179509
"75",0.744222550065396
"76",0.741975134218813
"77",0.745144520609683
"78",0.78278790034427
"79",0.795126639214268
"80",0.798234050191944
"81",0.798897298438804
"82",0.799399679299385
"83",0.801806860885609
"84",0.802084728161972
"85",0.802321862240924
"86",0.77456389292817
"87",0.775493956851973
"88",0.774103160644566
"89",0.770128992275026
"90",0.773817885649071
"91",0.76439828301271
"92",0.771849497003219
"93",0.783475845068021
"94",0.785232717191698
"95",0.786920766536475
"96",0.780295090228825
"97",0.779386598860457
"98",0.783415075793018
"99",0.762134479526095
"100",0.75843233411938
"101",0.755009894276555
"102",0.754980215615104
"103",0.764548441046392
"104",0.773101892888929
"105",0.774177925724305
"106",0.776409619213084
"107",0.778486072785341
"108",0.783799147965312
