Dates,open,high,low,close,volume
2018/9/6 22:23,267.25,267.25,267.2,267.25,106
2018/9/6 22:24,267.3,267.3,267.25,267.25,6
2018/9/6 22:25,267.25,267.25,267.25,267.25,62
2018/9/6 22:26,267.25,267.25,267.25,267.25,4
2018/9/6 22:27,267.25,267.25,267.25,267.25,2
2018/9/6 22:28,267.25,267.3,267.25,267.25,30
2018/9/6 22:29,267.3,267.35,267.25,267.3,220
2018/9/6 22:30,267.3,267.3,267.3,267.3,26
2018/9/6 22:31,267.35,267.35,267.3,267.3,132
2018/9/6 22:32,267.3,267.35,267.3,267.35,60
2018/9/6 22:33,267.3,267.3,267.25,267.3,354
2018/9/6 22:34,267.25,267.3,267.25,267.3,20
2018/9/6 22:35,267.3,267.35,267.25,267.35,150
2018/9/6 22:36,267.3,267.35,267.25,267.35,144
2018/9/6 22:37,267.3,267.35,267.3,267.35,96
2018/9/6 22:38,267.35,267.35,267.3,267.35,408
2018/9/6 22:39,267.35,267.45,267.35,267.4,368
2018/9/6 22:40,267.4,267.45,267.4,267.45,64
2018/9/6 22:41,267.4,267.45,267.35,267.4,320
2018/9/6 22:42,267.4,267.4,267.35,267.4,102
2018/9/6 22:43,267.35,267.35,267.35,267.35,546
2018/9/6 22:45,267.35,267.35,267.35,267.35,10
2018/9/6 22:46,267.4,267.4,267.35,267.35,12
2018/9/6 22:47,267.4,267.4,267.4,267.4,142
2018/9/6 22:48,267.4,267.4,267.4,267.4,36
2018/9/6 22:49,267.4,267.45,267.4,267.45,86
2018/9/6 22:50,267.4,267.45,267.4,267.45,44
2018/9/6 22:51,267.4,267.45,267.4,267.45,14
2018/9/6 22:52,267.45,267.45,267.45,267.45,140
2018/9/6 22:53,267.45,267.5,267.4,267.45,470
2018/9/6 22:54,267.45,267.5,267.45,267.45,144
2018/9/6 22:55,267.45,267.5,267.45,267.45,46
2018/9/6 22:56,267.5,267.5,267.4,267.45,122
2018/9/6 22:57,267.4,267.45,267.4,267.4,32
2018/9/6 22:58,267.4,267.45,267.4,267.4,522
2018/9/6 22:59,267.4,267.4,267.35,267.35,432
2018/9/6 23:00,267.4,267.4,267.35,267.35,322
2018/9/6 23:01,267.4,267.4,267.35,267.35,40
2018/9/6 23:02,267.35,267.35,267.35,267.35,168
2018/9/6 23:03,267.35,267.35,267.3,267.35,266
2018/9/6 23:04,267.35,267.35,267.35,267.35,18
2018/9/6 23:05,267.3,267.3,267.2,267.2,434
2018/9/6 23:06,267.25,267.25,267,267.1,2010
2018/9/6 23:07,267.1,267.15,267.1,267.1,312
2018/9/6 23:08,267.05,267.1,267,267,562
2018/9/6 23:09,267,267.05,266.95,267,644
2018/9/6 23:10,267,267,266.95,266.95,594
2018/9/6 23:11,266.95,267,266.95,266.95,372
2018/9/6 23:12,266.95,266.95,266.85,266.85,688
2018/9/6 23:13,266.85,266.95,266.8,266.95,1062
2018/9/6 23:14,266.9,266.9,266.8,266.85,720
2018/9/6 23:15,266.8,266.8,266.5,266.55,1928
2018/9/6 23:16,266.55,266.65,266.5,266.6,1066
2018/9/6 23:17,266.65,266.65,266.6,266.65,346
2018/9/6 23:18,266.65,266.65,266.55,266.65,354
2018/9/6 23:19,266.65,266.65,266.5,266.55,702
2018/9/6 23:20,266.55,266.55,266.5,266.55,262
2018/9/6 23:21,266.55,266.65,266.55,266.6,236
2018/9/6 23:22,266.6,266.65,266.6,266.6,204
2018/9/6 23:23,266.6,266.65,266.6,266.65,192
2018/9/6 23:24,266.65,266.7,266.65,266.7,150
2018/9/6 23:25,266.7,266.7,266.65,266.65,126
2018/9/6 23:26,266.7,266.7,266.6,266.6,36
2018/9/6 23:27,266.6,266.7,266.6,266.65,372
2018/9/6 23:28,266.65,266.75,266.65,266.75,234
2018/9/6 23:29,266.75,266.9,266.7,266.9,610
2018/9/6 23:30,266.85,266.85,266.8,266.8,176
2018/9/6 23:31,266.85,266.85,266.8,266.8,288
2018/9/6 23:32,266.85,266.85,266.8,266.8,84
2018/9/6 23:33,266.8,266.8,266.75,266.8,270
2018/9/6 23:34,266.85,266.85,266.8,266.8,64
2018/9/6 23:35,266.75,266.75,266.75,266.75,184
2018/9/6 23:36,266.75,266.75,266.7,266.7,210
2018/9/6 23:37,266.7,266.75,266.7,266.75,54
2018/9/6 23:38,266.75,266.75,266.7,266.75,48
2018/9/6 23:39,266.75,266.8,266.75,266.8,74
2018/9/6 23:40,266.8,266.8,266.75,266.75,78
2018/9/6 23:41,266.8,266.85,266.8,266.8,170
2018/9/6 23:42,266.8,266.85,266.8,266.8,90
2018/9/6 23:43,266.75,266.75,266.7,266.7,54
2018/9/6 23:44,266.75,266.75,266.65,266.65,208
2018/9/6 23:45,266.65,266.65,266.6,266.65,68
2018/9/6 23:46,266.65,266.7,266.6,266.7,74
2018/9/6 23:47,266.65,266.7,266.65,266.7,120
2018/9/6 23:48,266.65,266.75,266.65,266.7,90
2018/9/6 23:49,266.7,266.7,266.7,266.7,84
2018/9/6 23:50,266.7,266.75,266.7,266.75,40
2018/9/6 23:51,266.75,266.8,266.75,266.75,100
2018/9/6 23:52,266.75,266.75,266.75,266.75,178
2018/9/6 23:53,266.75,266.8,266.75,266.8,42
2018/9/6 23:54,266.75,266.8,266.75,266.8,6
2018/9/6 23:55,266.75,266.8,266.7,266.7,62
2018/9/6 23:56,266.75,266.75,266.75,266.75,20
2018/9/6 23:57,266.7,266.75,266.7,266.75,46
2018/9/6 23:59,266.8,266.8,266.75,266.75,68
2018/9/7 0:00,266.75,266.75,266.7,266.7,86
2018/9/7 0:01,266.7,266.7,266.65,266.65,12
2018/9/7 0:02,266.65,266.7,266.65,266.7,26
2018/9/7 0:03,266.75,266.75,266.75,266.75,110
2018/9/7 0:04,266.75,266.8,266.7,266.75,80
2018/9/7 0:05,266.75,266.75,266.7,266.7,48
2018/9/7 0:07,266.7,266.7,266.7,266.7,2
2018/9/7 0:08,266.7,266.7,266.7,266.7,32
2018/9/7 0:09,266.7,266.7,266.7,266.7,24
2018/9/7 0:10,266.7,266.7,266.65,266.7,20
2018/9/7 0:11,266.7,266.7,266.65,266.7,30
2018/9/7 0:12,266.7,266.7,266.7,266.7,6
2018/9/7 0:13,266.75,266.75,266.75,266.75,144
2018/9/7 0:14,266.7,266.7,266.7,266.7,74
2018/9/7 0:15,266.7,266.75,266.65,266.7,64
2018/9/7 0:16,266.7,266.75,266.7,266.75,42
2018/9/7 0:17,266.75,266.75,266.75,266.75,8
2018/9/7 0:18,266.75,266.75,266.75,266.75,392
2018/9/7 0:19,266.8,266.85,266.8,266.85,130
