1,22,271.5,271.5,271,270.85,1.99E+06,5,0,0.99761,1,-0.65,,,
9,22,270.88,270.95,270.85,270.85,1.92E+06,11,0,0.55891,0.99128,-0.03,,,
9,22,270.85,271.11,270.9,271.01,2.27E+06,10,0,0.55376,0.98838,0.16,0.99128,,
9,22,271.11,271.45,271.2,271.4,1.85E+06,13,0,0.61813,0.99935,0.29,0.98838,,0.394804149
9,22,271.45,271.43,271.2,271.15,1.87E+06,12,0,0.66154,0.99968,-0.3,0.99935,,
9,22,271.2,271.3,271.2,271.3,1.85E+06,19,0,0.61147,0.99903,0.1,0.99968,,
10,22,271.3,271.29,271.25,271.28,2.09E+06,15,0,0.52526,0.97192,-0.02,0.99903,,
10,22,271.28,271.35,271.2,271.32,1.89E+06,13,0,0.4765,0.90058,0.04,0.97192,,
10,22,271.32,271.35,271.25,271.26,1.91E+06,38,0,0.44615,0.79535,-0.06,0.90058,,
13,22,271.26,271.42,271.23,271.27,1.94E+06,29,0,0.40135,0.54616,0.01,0.79535,,
14,22,271.31,271.59,271.31,271.4,1.98E+06,32,0,0.39335,0.50065,0.09,0.54616,,
14,22,271.4,271.45,271.21,271.13,1.92E+06,20,0,0.42976,0.71304,-0.27,0.50065,,
15,22,271.13,271.4,271.1,271.4,1.84E+06,34,0,0.45966,0.84958,0.27,0.71304,,
20,22,271.4,271.64,271.25,271.58,1.88E+06,56,0,0.47071,0.88509,0.18,0.84958,,
21,22,271.6,271.87,271.43,271.7,1.88E+06,55,0,0.46227,0.85604,0.1,0.88509,,
22,22,271.78,272.04,271.69,271.99,1.98E+06,56,0,0.47807,0.90478,0.21,0.85604,,
23,22,272.05,272.24,271.89,272,1.85E+06,115,0,0.45836,0.84183,-0.05,0.90478,,
2,23,272.05,272.29,271.93,271.92,1.94E+06,27,0,0.45812,0.84054,-0.13,0.84183,,
9,23,271.97,272.25,271.98,272.15,2.02E+06,16,0,0.4675,0.87766,0.18,0.84054,,
