,,open,high,low,close,,time,,vpin,cdfvpin,diff,date,,,,
1,2,267.31,267.9,267.6,267.61,9.44E+05,6,0,0.72657,1,0.3,2018/7/2 9:00,,,,
8,2,267.7,267.9,267.9,267.9,1.54E+06,1,0,0.60667,0.99945,0.2,2018/7/2 9:08,,,,
10,2,267.9,267.9,267.9,267.85,1.22E+06,2,0,0.45162,0.99889,-0.05,2018/7/2 9:10,,,,
13,2,267.86,267.91,267.86,267.9,1.28E+06,3,0,0.36303,0.96286,0.04,2018/7/2 9:13,,,,
17,2,267.9,267.9,267.9,267.9,9.48E+05,1,0,0.30243,0.82095,0,2018/7/2 9:17,,,,
19,2,267.9,267.9,267.9,267.9,1.05E+06,1,0,0.25415,0.53991,0,2018/7/2 9:19,,,,
21,2,267.9,267.95,267.9,267.95,1.27E+06,6,0,0.23613,0.44069,0.05,2018/7/2 9:21,,,,
28,2,267.95,268,268,268,1.14E+06,3,0,0.22401,0.38969,0.05,2018/7/2 9:29,,,,
32,2,268,268,268,268,1.59E+06,1,0,0.18878,0.2306,0,2018/7/2 9:33,,,,
34,2,268,268,267.86,267.85,9.46E+05,23,0,0.20839,0.32317,-0.15,2018/7/2 9:35,,,,
58,2,267.86,267.86,267.65,267.7,9.76E+05,30,0,0.2278,0.40521,-0.16,2018/7/2 10:14,,,,
89,2,267.71,267.75,267.71,267.71,1.26E+06,3,0,0.20484,0.31319,0,2018/7/2 11:02,,,,
93,2,267.74,267.75,267.66,267.71,1.30E+06,13,0,0.19343,0.25222,-0.03,2018/7/2 11:06,,,,
107,2,267.72,267.78,267.7,267.78,1.38E+06,8,0,0.19137,0.24169,0.06,2018/7/2 11:27,,,,
116,2,267.8,267.86,267.8,267.86,9.61E+05,7,0,0.19006,0.2378,0.06,2018/7/2 13:36,,,,
124,2,267.86,267.87,267.86,267.86,1.07E+06,3,0,0.1772,0.18071,0,2018/7/2 13:45,,,,
128,2,267.86,267.89,267.87,267.89,1.39E+06,4,0,0.16963,0.15743,0.03,2018/7/2 13:49,,,,
133,2,267.82,267.88,267.83,267.88,1.56E+06,14,0,0.16972,0.15798,0.06,2018/7/2 13:54,,,,
148,2,267.88,267.88,267.85,267.85,9.63E+05,3,0,0.16525,0.14135,-0.03,2018/7/2 14:11,,,,
152,2,267.88,267.88,267.8,267.78,1.24E+06,4,0,0.17261,0.16408,-0.1,2018/7/2 14:15,,,,
157,2,267.78,267.96,267.7,267.86,9.82E+05,35,0,0.1752,0.17517,0.08,2018/7/2 14:20,,,,
193,2,267.88,267.95,267.87,267.9,9.67E+05,5,0,0.16949,0.15687,0.02,2018/7/2 15:02,,,,
199,2,267.97,268,267.91,267.92,9.72E+05,7,0,0.16812,0.15133,-0.05,2018/7/2 15:08,,,,
207,2,267.93,268.6,267.66,268.2,9.77E+05,46,0,0.19111,0.24002,0.27,2018/7/2 15:16,,,,
254,2,268.21,268.4,267.5,268.1,1.03E+06,74,0,0.1967,0.27162,-0.11,2018/7/2 20:59,,,,
329,3,268.14,268.3,268.14,268.15,9.50E+05,20,0,0.18947,0.23448,0.01,2018/7/3 9:44,,,,
350,3,268.2,268.29,267.85,267.9,9.46E+05,27,0,0.2119,0.34091,-0.3,2018/7/3 10:09,,,,
378,3,267.9,268.09,267.83,268.01,9.82E+05,47,0,0.21625,0.35976,0.11,2018/7/3 10:39,,,,
426,3,268.01,268.06,268.01,268.05,1.06E+06,10,0,0.21179,0.34035,0.04,2018/7/3 13:41,,,,
437,3,268.05,268.06,267.96,267.96,9.44E+05,15,0,0.21367,0.34867,-0.09,2018/7/3 13:53,,,,
453,3,268,268,267.94,267.94,9.67E+05,23,0,0.21211,0.34202,-0.06,2018/7/3 14:11,,,,
477,3,267.93,268.61,267.51,268.6,9.57E+05,95,0,0.24279,0.47118,0.67,2018/7/3 14:38,,,,
573,3,268.61,269.26,268.6,269.2,9.56E+05,28,0,0.27156,0.64745,0.59,2018/7/3 23:32,,,,
602,4,269.23,269.35,269.2,269.24,1.22E+06,12,0,0.26031,0.58038,0.01,2018/7/4 9:20,,,,
615,4,269.25,269.25,269.1,269.12,9.82E+05,14,0,0.26492,0.60643,-0.13,2018/7/4 9:36,,,,
630,4,269.14,269.19,269.01,269.02,9.49E+05,20,0,0.26827,0.62528,-0.12,2018/7/4 9:52,,,,
651,4,269.02,269.04,268.8,268.8,1.05E+06,10,0,0.28166,0.70732,-0.22,2018/7/4 10:14,,,,
662,4,268.95,269.04,268.9,268.97,1.04E+06,34,0,0.27347,0.66075,0.02,2018/7/4 10:25,,,,
697,4,268.98,269.05,268.92,268.96,9.74E+05,31,0,0.26607,0.61142,-0.02,2018/7/4 11:07,,,,
729,4,268.96,268.96,268.83,268.82,1.03E+06,18,0,0.2716,0.648,-0.14,2018/7/4 13:47,,,,
748,4,268.83,268.83,268.8,268.8,1.08E+06,7,0,0.26475,0.60477,-0.03,2018/7/4 14:11,,,,
756,4,268.8,268.81,268.58,268.58,9.99E+05,21,0,0.27723,0.68126,-0.22,2018/7/4 14:19,,,,
778,4,268.58,268.58,268.4,268.5,1.12E+06,20,0,0.27604,0.67683,-0.08,2018/7/4 14:48,,,,
799,4,268.5,268.91,267.55,268.79,9.87E+05,94,0,0.29294,0.77051,0.29,2018/7/4 15:11,,,,
894,5,268.8,268.9,268.79,268.77,9.83E+05,15,0,0.28643,0.73392,-0.03,2018/7/5 10:07,,,,
910,5,268.8,268.84,268.77,268.83,1.03E+06,16,0,0.27973,0.70011,0.03,2018/7/5 10:26,,,,
927,5,268.81,268.8,268.78,268.79,9.81E+05,10,0,0.27248,0.6541,-0.02,2018/7/5 10:45,,,,
938,5,268.79,268.82,268.79,268.79,1.01E+06,6,0,0.26292,0.59257,0,2018/7/5 10:56,,,,
945,5,268.8,268.88,268.71,268.71,1.02E+06,28,0,0.26333,0.5959,-0.09,2018/7/5 11:07,,,,
974,5,268.71,268.75,268.71,268.72,1.01E+06,25,0,0.25506,0.54545,0.01,2018/7/5 13:50,,,,
1000,5,268.73,268.75,268.72,268.75,1.15E+06,9,0,0.24705,0.49446,0.02,2018/7/5 14:20,,,,
1010,5,268.75,268.78,268.71,268.72,9.49E+05,19,0,0.24198,0.46674,-0.03,2018/7/5 14:30,,,,
1030,5,268.73,269,267.5,269,1.02E+06,105,0,0.2597,0.57483,0.27,2018/7/5 14:58,,,,
1136,6,269,269.19,269,269.08,9.60E+05,52,0,0.25981,0.57594,0.08,2018/7/6 9:14,,,,
1189,6,269.1,269.18,269.1,269.18,9.56E+05,17,0,0.25981,0.57539,0.08,2018/7/6 10:25,,,,
1207,6,269.18,269.18,269.15,269.17,1.53E+06,10,0,0.24751,0.49945,-0.01,2018/7/6 10:46,,,,
1218,6,269.18,269.25,269.18,269.21,9.85E+05,15,0,0.24205,0.46785,0.03,2018/7/6 10:57,,,,
1234,6,269.23,269.24,269.06,269.1,1.01E+06,18,0,0.24701,0.4939,-0.13,2018/7/6 11:13,,,,
1253,6,269.1,269.26,269.1,269.25,2.06E+06,20,0,0.25997,0.57761,0.15,2018/7/6 13:35,,,,
1274,6,269.26,269.27,269.28,269.25,1.06E+06,1,0,0.2513,0.51663,-0.01,2018/7/6 13:57,,,,
1276,6,269.25,269.25,269.2,269.2,9.93E+05,11,0,0.24765,0.50055,-0.05,2018/7/6 13:59,,,,
1288,6,269.22,269.25,269.21,269.2,1.28E+06,8,0,0.23917,0.45233,-0.02,2018/7/6 14:13,,,,
1297,6,269.24,269.27,269.2,269.21,9.58E+05,18,0,0.23376,0.42849,-0.03,2018/7/6 14:22,,,,
1316,6,269.2,269.25,269.16,269.21,1.08E+06,24,0,0.22538,0.39357,0.01,2018/7/6 14:42,,,,
1341,6,269.22,269.31,269.23,269.31,9.65E+05,14,0,0.22592,0.3969,0.09,2018/7/6 15:10,,,,
1356,6,269.3,269.31,268.26,269.25,9.61E+05,88,0,0.22244,0.38803,-0.05,2018/7/6 15:25,,,,
1445,9,269.25,269.25,268.93,268.93,9.86E+05,27,0,0.24092,0.46286,-0.32,2018/7/9 9:29,,,,
1473,9,268.99,269.02,268.96,268.96,9.62E+05,23,0,0.23478,0.43237,-0.03,2018/7/9 10:00,,,,
1497,9,268.91,268.97,268.91,268.92,9.65E+05,19,0,0.22654,0.40022,0.01,2018/7/9 10:31,,,,
1517,9,268.93,269.13,268.89,269.13,9.88E+05,45,0,0.23663,0.4418,0.2,2018/7/9 10:55,,,,
1563,9,269.13,269.22,269.11,269.2,1.08E+06,10,0,0.23427,0.43016,0.07,2018/7/9 13:55,,,,
1574,9,269.22,269.25,269.21,269.21,9.92E+05,5,0,0.22569,0.39468,-0.01,2018/7/9 14:06,,,,
1580,9,269.22,269.25,269.18,269.18,9.85E+05,9,0,0.22034,0.37805,-0.04,2018/7/9 14:13,,,,
1590,9,269.18,269.23,269.18,269.21,9.64E+05,22,0,0.21402,0.34922,0.03,2018/7/9 14:23,,,,
1613,9,269.23,269.24,269.07,269,9.50E+05,33,0,0.22633,0.39856,-0.23,2018/7/9 14:51,,,,
1647,9,269.07,269.6,268.2,268.4,9.44E+05,88,0,0.25214,0.52661,-0.67,2018/7/9 15:29,,,,
